"name","year_start","year_end","years_tot","birth_date","position","height","weight","college"
"Alaa Abdelnaby",1991,1995,5,1968-06-24,"F-C",82,240,"Duke University"
"Zaid Abdul-Aziz",1969,1978,10,1946-04-07,"C-F",81,235,"Iowa State University"
"Kareem Abdul-Jabbar",1970,1989,20,1947-04-16,"C",86,225,"University of California, Los Angeles"
"Mahmoud Abdul-Rauf",1991,2001,11,1969-03-09,"G",73,162,"Louisiana State University"
"Tariq Abdul-Wahad",1998,2003,6,1974-11-03,"F",78,223,"San Jose State University"
"Shareef Abdur-Rahim",1997,2008,12,1976-12-11,"F",81,225,"University of California"
"Tom Abernethy",1977,1981,5,1954-05-06,"F",79,220,"Indiana University"
"Forest Able",1957,1957,1,1932-07-27,"G",75,180,"Western Kentucky University"
"John Abramovic",1947,1948,2,1919-02-09,"F",75,195,"Salem International University"
"Alex Abrines",2017,2018,2,1993-08-01,"G-F",78,190,"No College"
"Alex Acker",2006,2009,4,1983-01-21,"G",77,185,"Pepperdine University"
"Don Ackerman",1954,1954,1,1930-09-04,"G",72,183,"Long Island University"
"Mark Acres",1988,1993,6,1962-11-15,"F-C",83,220,"Oral Roberts University"
"Bud Acton",1968,1968,1,1942-01-11,"F",78,210,"Hillsdale College"
"Quincy Acy",2013,2018,6,1990-10-06,"F",79,240,"Baylor University"
"Alvan Adams",1976,1988,13,1954-07-19,"C-F",81,210,"University of Oklahoma"
"Don Adams",1971,1977,7,1947-11-27,"F",78,210,"Northwestern University"
"George Adams",1973,1975,3,1949-05-15,"F-G",77,210,"Gardner-Webb University"
"Hassan Adams",2007,2009,3,1984-06-20,"G",76,220,"University of Arizona"
"Jordan Adams",2015,2016,2,1994-07-08,"G",77,209,"University of California, Los Angeles"
"Michael Adams",1986,1996,11,1963-01-19,"G",70,162,"Boston College"
"Steven Adams",2014,2018,5,1993-07-20,"C",84,255,"University of Pittsburgh"
"Rafael Addison",1987,1997,11,1964-07-22,"F-G",79,215,"Syracuse University"
"Bam Adebayo",2018,2018,1,1997-07-18,"C-F",82,243,"University of Kentucky"
"Rick Adelman",1969,1975,7,1946-06-16,"G",73,175,"Loyola Marymount University"
"Jeff Adrien",2011,2015,5,1986-02-10,"F",79,245,"University of Connecticut"
"Arron Afflalo",2008,2018,11,1985-10-15,"G",77,210,"University of California, Los Angeles"
"Maurice Ager",2007,2011,5,1984-02-09,"G",77,202,"Michigan State University"
"Mark Aguirre",1982,1994,13,1959-12-10,"F-G",78,232,"DePaul University"
"Blake Ahearn",2008,2012,5,1984-05-27,"G",74,190,"Missouri State University"
"Danny Ainge",1982,1995,14,1959-03-17,"G",76,175,"Brigham Young University"
"Matthew Aitch",1968,1968,1,1944-09-21,"F",79,230,"Michigan State University"
"Alexis Ajinca",2009,2017,9,1988-05-06,"C",86,248,"No College"
"Henry Akin",1967,1969,3,1944-07-31,"C-F",82,225,"Morehead State University"
"Josh Akognon",2013,2013,1,1986-02-10,"G",71,185,"California State University, Fullerton"
"Solomon Alabi",2011,2012,2,1988-03-21,"C",85,251,"Florida State University"
"Mark Alarie",1987,1991,5,1963-12-11,"F",80,217,"Duke University"
"Gary Alcorn",1960,1961,2,1936-10-08,"C",81,225,"California State University, Fresno"
"Furkan Aldemir",2015,2015,1,1991-08-09,"F-C",82,240,"No College"
"Cole Aldrich",2011,2018,8,1988-10-31,"C",83,250,"University of Kansas"
"LaMarcus Aldridge",2007,2018,12,1985-07-19,"F-C",83,260,"University of Texas at Austin"
"Chuck Aleksinas",1985,1985,1,1959-02-26,"C",83,260,"University of Connecticut"
"Cliff Alexander",2016,2016,1,1995-11-16,"F",80,245,"University of Kansas"
"Cory Alexander",1996,2005,10,1973-06-22,"G",73,185,"University of Virginia"
"Courtney Alexander",2001,2003,3,1977-04-27,"G",77,205,"California State University, Fresno"
"Gary Alexander",1994,1994,1,1969-11-01,"F",79,240,"University of South Florida"
"Joe Alexander",2009,2010,2,1986-12-26,"F",80,230,"West Virginia University"
"Victor Alexander",1992,2002,11,1969-08-31,"C-F",81,265,"Iowa State University"
"Steve Alford",1988,1991,4,1964-11-23,"G",74,183,"Indiana University"
"Bill Allen",1968,1968,1,,"C-F",80,205,"New Mexico State University"
"Bob Allen",1969,1969,1,1946-07-17,"F",81,205,"Marshall University"
"Jarrett Allen",2018,2018,1,1998-04-21,"F-C",82,234,"University of Texas at Austin"
"Jerome Allen",1996,1997,2,1973-01-28,"G",76,184,"University of Pennsylvania"
"Kadeem Allen",2018,2018,1,1993-01-15,"G",75,192,"University of Arizona"
"Lavoy Allen",2012,2017,6,1989-02-04,"F-C",81,260,"Temple University"
"Lucius Allen",1970,1979,10,1947-09-26,"G",74,175,"University of California, Los Angeles"
"Malik Allen",2002,2011,10,1978-06-27,"F-C",82,255,"Villanova University"
"Randy Allen",1989,1990,2,1965-01-26,"F",80,220,"Florida State University"
"Ray Allen",1997,2014,18,1975-07-20,"G",77,205,"University of Connecticut"
"Tony Allen",2005,2018,14,1982-01-11,"G-F",76,213,"Oklahoma State University"
"Willie Allen",1972,1972,1,1949-02-08,"F",78,230,"University of Miami"
"Odis Allison",1972,1972,1,1949-10-02,"F",78,195,"University of Nevada, Las Vegas"
"Lance Allred",2008,2008,1,1981-02-02,"C",83,250,"Weber State University"
"Darrell Allums",1981,1981,1,1958-09-12,"F",81,220,"University of California, Los Angeles"
"Morris Almond",2008,2012,5,1985-02-02,"G",78,225,"Rice University"
"Derrick Alston",1995,1997,3,1972-08-20,"F",83,225,"Duquesne University"
"Rafer Alston",2000,2010,11,1976-07-24,"G",74,171,"California State University, Fresno"
"Peter Aluma",1999,1999,1,1973-04-23,"C",82,260,"Liberty University"
"John Amaechi",1996,2003,8,1970-11-26,"C-F",82,270,"Pennsylvania State University"
"Ashraf Amaya",1996,1997,2,1971-11-23,"F",80,230,"Southern Illinois University"
"Al-Farouq Aminu",2011,2018,8,1990-09-21,"F",81,220,"Wake Forest University"
"Lou Amundson",2007,2016,10,1982-12-07,"F",81,220,"University of Nevada, Las Vegas"
"Bob Anderegg",1960,1960,1,1937-08-24,"F-G",75,200,"Michigan State University"
"Chris Andersen",2002,2017,16,1978-07-07,"F-C",82,245,"Blinn College"
"David Andersen",2010,2011,2,1980-06-23,"C",83,245,"No College"
"Alan Anderson",2006,2017,12,1982-10-16,"G-F",78,220,"Michigan State University"
"Andrew Anderson",1968,1970,3,1945-07-06,"G",74,184,"Canisius College"
"Antonio Anderson",2010,2010,1,1985-06-05,"G",78,215,"University of Memphis"
"Cliff Anderson",1968,1971,4,1944-09-07,"G-F",74,200,"Saint Joseph's University"
"Dan Anderson",1968,1969,2,1943-02-15,"C",82,230,"Augsburg College"
"Dan Anderson",1975,1976,2,1951-01-01,"G",74,185,"University of Southern California"
"Derek Anderson",1998,2008,11,1974-07-18,"G",77,194,"University of Kentucky"
"Dwight Anderson",1983,1983,1,1960-12-28,"G",75,185,"University of Southern California"
"Eric Anderson",1993,1994,2,1970-05-26,"F",81,220,"Indiana University"
"Greg Anderson",1988,1998,11,1964-06-22,"F-C",82,230,"University of Houston"
"J.J. Anderson",1983,1985,3,1960-09-23,"F",80,195,"Bradley University"
"James Anderson",2011,2016,6,1989-03-25,"G-F",78,213,"Oklahoma State University"
"Jerome Anderson",1976,1977,2,1953-10-09,"G",77,195,"West Virginia University"
"Justin Anderson",2016,2018,3,1993-11-19,"G",78,228,"University of Virginia"
"Kenny Anderson",1992,2005,14,1970-10-09,"G",72,168,"Georgia Institute of Technology"
"Kim Anderson",1979,1979,1,1955-05-12,"F",79,200,"University of Missouri"
"Kyle Anderson",2015,2018,4,1993-09-20,"F-G",81,230,"University of California, Los Angeles"
"Michael Anderson",1989,1989,1,1966-03-23,"G",71,184,"Drexel University"
"Nick Anderson",1990,2002,13,1968-01-20,"F-G",78,205,"University of Illinois at Urbana-Champaign"
"Richard Anderson",1983,1990,8,1960-11-19,"F-C",82,240,"University of California, Santa Barbara"
"Ron Anderson",1985,1994,10,1958-10-15,"F-G",79,215,"California State University, Fresno"
"Ryan Anderson",2009,2018,10,1988-05-06,"F",82,240,"University of California"
"Shandon Anderson",1997,2006,10,1973-12-31,"F-G",78,208,"University of Georgia"
"Willie Anderson",1989,1997,9,1967-01-08,"G-F",79,190,"University of Georgia"
"Wally Anderzunas",1970,1970,1,1946-01-11,"C-F",79,220,"Creighton University"
"Martynas Andriuskevicius",2006,2006,1,1986-03-12,"C",86,240,"No College"
"Don Anielak",1955,1955,1,1930-11-01,"F",79,190,"Missouri State University"
"Ike Anigbogu",2018,2018,1,1998-10-22,"F-C",82,252,"University of California, Los Angeles"
"Michael Ansley",1990,1992,3,1967-02-08,"F",79,225,"University of Alabama"
"Chris Anstey",1998,2000,3,1975-01-01,"C",84,249,"No College"
"Giannis Antetokounmpo",2014,2018,5,1994-12-06,"F-G",83,222,"No College"
"Thanasis Antetokounmpo",2016,2016,1,1992-07-17,"F",79,205,"No College"
"Carmelo Anthony",2004,2018,15,1984-05-29,"F",80,240,"Syracuse University"
"Greg Anthony",1992,2002,11,1967-11-15,"G",72,176,"University of Nevada, Las Vegas"
"Joel Anthony",2008,2017,10,1982-08-09,"C",81,245,"University of Nevada, Las Vegas"
"Pero Antic",2014,2015,2,1982-07-29,"C-F",83,260,"No College"
"OG Anunoby",2018,2018,1,1997-07-17,"F",80,232,"Indiana University"
"Keith Appling",2016,2016,1,1992-02-13,"G",73,185,"Michigan State University"
"Rafael Araujo",2005,2007,3,1980-08-12,"C",83,280,"Brigham Young University"
"Stacey Arceneaux",1962,1962,1,1936-02-17,"F",76,210,"Iowa State University"
"Robert Archibald",2003,2004,2,1980-03-29,"F",83,250,"University of Illinois at Urbana-Champaign"
"Tiny Archibald",1971,1984,14,1948-09-02,"G",73,150,"University of Texas at El Paso"
"Ryan Arcidiacono",2018,2018,1,1994-03-26,"G",75,188,"Villanova University"
"Jim Ard",1971,1978,8,1948-09-19,"F-C",80,215,"University of Cincinnati"
"Gilbert Arenas",2002,2012,11,1982-01-06,"G",75,191,"University of Arizona"
"Trevor Ariza",2005,2018,14,1985-06-30,"F",80,215,"University of California, Los Angeles"
"Paul Arizin",1951,1962,12,1928-04-09,"F-G",76,190,"Villanova University"
"Joe Arlauckas",1988,1988,1,1965-07-20,"F",81,230,"Niagara University"
"B.J. Armstrong",1990,2000,11,1967-09-09,"G",74,175,"University of Iowa"
"Bob Armstrong",1957,1957,1,1933-06-17,"C-F",80,220,"Michigan State University"
"Brandon Armstrong",2002,2004,3,1980-06-16,"G",77,188,"Pepperdine University"
"Curly Armstrong",1949,1951,3,1918-11-01,"G-F",71,170,"Indiana University"
"Darrell Armstrong",1995,2008,14,1968-06-22,"G",72,170,"Fayetteville State University"
"Hilton Armstrong",2007,2014,8,1984-11-11,"F-C",83,235,"University of Connecticut"
"Tate Armstrong",1978,1979,2,1955-10-05,"G",75,175,"Duke University"
"Jesse Arnelle",1956,1956,1,1933-12-30,"F",77,220,"Pennsylvania State University"
"Jay Arnette",1964,1966,3,1938-12-19,"G",74,175,"University of Texas at Austin"
"Bob Arnzen",1970,1974,5,1947-11-03,"F",77,205,"University of Notre Dame"
"Carlos Arroyo",2002,2011,10,1979-07-30,"G",74,202,"Florida International University"
"Darrell Arthur",2009,2018,10,1988-03-25,"F",81,235,"University of Kansas"
"John Arthurs",1970,1970,1,1947-08-15,"G",76,185,"Tulane University"
"Jamel Artis",2018,2018,1,1993-01-12,"G-F",79,213,"University of Pittsburgh"
"Omer Asik",2011,2018,8,1986-07-04,"C",84,255,"No College"
"Vincent Askew",1988,1998,11,1966-02-28,"G-F",78,210,"University of Memphis"
"Keith Askins",1991,1999,9,1967-12-15,"G-F",79,197,"University of Alabama"
"Don Asmonga",1954,1954,1,1928-02-15,"G",74,185,"Alliance College"
"Dick Atha",1956,1958,3,1931-09-21,"G",74,190,"Indiana State University"
"Chucky Atkins",2000,2010,11,1974-08-14,"G",71,160,"University of South Florida"
"Al Attles",1961,1971,11,1936-11-07,"G",72,175,"North Carolina Agricultural and Technical State University"
"Chet Aubuchon",1947,1947,1,1916-05-18,"G",70,137,"Michigan State University"
"Stacey Augmon",1992,2006,15,1968-08-01,"F-G",80,205,"University of Nevada, Las Vegas"
"D.J. Augustin",2009,2018,10,1987-11-10,"G",72,183,"University of Texas at Austin"
"James Augustine",2007,2008,2,1984-02-27,"F",82,235,"University of Illinois at Urbana-Champaign"
"Isaac Austin",1992,2002,11,1969-08-18,"C",82,255,"Arizona State University"
"Johnny Austin",1967,1968,2,1944-08-31,"G",72,170,"Boston College"
"Ken Austin",1984,1984,1,1961-07-15,"F",81,205,"Rice University"
"Anthony Avent",1993,2000,8,1969-10-18,"F",81,235,"Seton Hall University"
"Bird Averitt",1974,1978,5,1952-07-22,"G",73,170,"Pepperdine University"
"William Avery",2000,2002,3,1979-08-08,"G",74,197,"Duke University"
"Dennis Awtrey",1971,1982,12,1948-02-22,"C",82,235,"Santa Clara University"
"Gustavo Ayon",2012,2014,3,1985-04-01,"C",82,250,"No College"
"Jeff Ayres",2010,2016,7,1987-04-29,"F",81,240,"Arizona State University"
"Kelenna Azubuike",2007,2012,6,1983-12-16,"G",77,220,"University of Kentucky"
"Chris Babb",2014,2014,1,1990-02-14,"G",77,225,"Iowa State University"
"Luke Babbitt",2011,2018,8,1989-06-20,"F",81,225,"University of Nevada, Reno"
"Milos Babic",1991,1992,2,1968-11-23,"C-F",84,240,"Tennessee Technological University"
"Johnny Bach",1949,1949,1,1924-07-10,"F-G",74,180,"Fordham University"
"Dwayne Bacon",2018,2018,1,1995-08-30,"G",78,222,"Florida State University"
"Henry Bacon",1973,1973,1,1948-07-05,"G",75,205,"University of Louisville"
"Jim Baechtold",1953,1957,5,1927-12-09,"F-G",76,205,"Eastern Kentucky University"
"Dalibor Bagaric",2001,2003,3,1980-02-07,"C",85,255,"No College"
"John Bagley",1983,1994,12,1960-04-23,"G",72,185,"Boston College"
"Carl Bailey",1982,1982,1,1958-04-23,"C",84,210,"Tuskegee University"
"Gus Bailey",1975,1980,6,1951-02-18,"G-F",77,185,"University of Texas at El Paso"
"James Bailey",1980,1988,9,1957-05-21,"F-C",81,220,"Rutgers University"
"Thurl Bailey",1984,1999,16,1961-04-07,"F-C",83,215,"North Carolina State University"
"Toby Bailey",1999,2000,2,1975-11-19,"G",78,213,"University of California, Los Angeles"
"Cameron Bairstow",2015,2016,2,1990-12-07,"F-C",81,250,"University of New Mexico"
"Jimmie Baker",1976,1976,1,1953-12-25,"F",81,220,"University of Hawaii"
"LaMark Baker",1999,1999,1,1969-11-11,"G",73,175,"Ohio State University"
"Maurice Baker",2005,2005,1,1979-07-28,"G",73,175,"Oklahoma State University"
"Norm Baker",1947,1947,1,1923-02-17,"G",72,180,"No College"
"Ron Baker",2017,2018,2,1993-03-30,"G",76,220,"Wichita State University"
"Vin Baker",1994,2006,13,1971-11-23,"F",83,232,"University of Hartford"
"Wade Baldwin",2017,2017,1,1996-03-29,"G",76,202,"Vanderbilt University"
"Renaldo Balkman",2007,2012,6,1984-07-14,"F",80,208,"University of South Carolina"
"Cedric Ball",1991,1991,1,1968-04-16,"F",80,210,"University of North Carolina at Charlotte"
"Lonzo Ball",2018,2018,1,1997-10-27,"G",78,190,"University of California, Los Angeles"
"Greg Ballard",1978,1989,12,1955-01-29,"F",79,215,"University of Oregon"
"Herschel Baltimore",1947,1947,1,1921-06-21,"F",76,195,"Pennsylvania State University"
"Gene Banks",1982,1987,6,1959-05-15,"F-G",79,215,"Duke University"
"Marcus Banks",2004,2011,8,1981-11-19,"G",74,200,"University of Nevada, Las Vegas"
"Walker Banks",1971,1971,1,1947-08-26,"C",82,205,"Western Kentucky University"
"Ken Bannister",1985,1991,7,1960-04-01,"F-C",81,235,"Saint Augustine's College"
"Mike Bantom",1974,1982,9,1951-12-03,"F-C",81,200,"Saint Joseph's University"
"John Barber",1957,1957,1,1927-06-27,"F",78,210,"California State University, Los Angeles"
"Leandro Barbosa",2004,2017,14,1982-11-28,"G",75,194,"No College"
"Steve Bardo",1992,1996,5,1968-04-05,"G",77,190,"University of Illinois at Urbana-Champaign"
"J.J. Barea",2007,2018,12,1984-06-26,"G",72,185,"Northeastern University"
"Andrea Bargnani",2007,2016,10,1985-10-26,"F-C",84,245,"No College"
"Cliff Barker",1950,1952,3,1921-01-15,"G",74,185,"University of Kentucky"
"Tom Barker",1977,1979,3,1955-03-11,"C-F",83,225,"University of Hawaii"
"Charles Barkley",1985,2000,16,1963-02-20,"F",78,252,"Auburn University"
"Erick Barkley",2001,2002,2,1978-02-21,"G",73,177,"St. John's University"
"Don Barksdale",1952,1955,4,1923-03-31,"F-C",78,200,"University of California, Los Angeles"
"Harrison Barnes",2013,2018,6,1992-05-30,"F",80,210,"University of North Carolina"
"Harry Barnes",1969,1969,1,1945-07-25,"F",75,205,"Northeastern University"
"Jim Barnes",1965,1971,7,1941-04-13,"C-F",80,210,"University of Texas at El Paso"
"Marvin Barnes",1975,1980,6,1952-07-27,"F-C",80,210,"Providence College"
"Matt Barnes",2004,2017,14,1980-03-09,"F",79,226,"University of California, Los Angeles"
"Dick Barnett",1960,1974,15,1936-10-02,"G-F",76,190,"Tennessee State University"
"Jim Barnett",1967,1977,11,1944-07-07,"G-F",76,170,"University of Oregon"
"Nathaniel Barnett",1976,1976,1,1953-01-29,"G",75,175,"University of Akron"
"John Barnhill",1963,1972,10,1938-03-20,"G",73,180,"Tennessee State University"
"Norton Barnhill",1977,1977,1,1953-07-15,"G",76,205,"Washington State University"
"Leo Barnhorst",1950,1954,5,1924-05-11,"F-G",76,190,"University of Notre Dame"
"John Barr",1947,1947,1,1918-08-08,"F",75,205,"Pennsylvania State University"
"Mike Barr",1973,1977,5,1950-10-19,"G",75,180,"Duquesne University"
"Moe Barr",1971,1971,1,1944-06-19,"G",76,195,"Duquesne University"
"Andre Barrett",2005,2008,4,1982-02-21,"G",70,172,"Seton Hall University"
"Ernie Barrett",1954,1956,3,1929-08-27,"G-F",75,180,"Kansas State University"
"Mike Barrett",1970,1973,4,1943-09-05,"G",74,155,"West Virginia University Institute of Technology"
"Earl Barron",2006,2015,10,1981-08-14,"C",84,250,"University of Memphis"
"Dana Barros",1990,2004,15,1967-04-13,"G",71,163,"Boston College"
"Brent Barry",1996,2009,14,1971-12-31,"G",78,185,"Oregon State University"
"Drew Barry",1998,2000,3,1973-02-17,"G",77,191,"Georgia Institute of Technology"
"Jon Barry",1993,2006,14,1969-07-25,"G",76,195,"Georgia Institute of Technology"
"Rick Barry",1966,1980,15,1944-03-28,"F",79,205,"University of Miami"
"Ed Bartels",1950,1951,2,1925-10-08,"F",77,195,"North Carolina State University"
"Vic Bartolome",1972,1972,1,1948-09-29,"C",84,230,"Oregon State University"
"Will Barton",2013,2018,6,1991-01-06,"G",78,175,"University of Memphis"
"Eddie Basden",2006,2006,1,1983-02-15,"G",77,215,"University of North Carolina at Charlotte"
"Jerry Baskerville",1976,1976,1,1951-11-10,"F",79,190,"Temple University"
"Brandon Bass",2006,2017,12,1985-04-30,"F",80,250,"Louisiana State University"
"Tim Bassett",1974,1980,7,1951-04-01,"F-C",80,225,"University of Georgia"
"Maceo Baston",2003,2009,7,1975-05-29,"F",81,215,"University of Michigan"
"Mengke Bateer",2002,2004,3,1975-11-20,"C",83,290,"No College"
"Billy Ray Bates",1980,1983,4,1956-05-31,"G",76,210,"Kentucky State University"
"Esteban Batista",2006,2007,2,1983-09-02,"F-C",82,270,"No College"
"Mike Batiste",2003,2003,1,1977-11-21,"F",80,225,"Arizona State University"
"Tony Battie",1998,2012,15,1976-02-11,"C-F",83,230,"Texas Tech University"
"Shane Battier",2002,2014,13,1978-09-09,"F",80,220,"Duke University"
"John Battle",1986,1995,10,1962-11-09,"G",74,175,"Rutgers University"
"Kenny Battle",1990,1993,4,1964-10-10,"F",78,210,"University of Illinois at Urbana-Champaign"
"Dave Batton",1983,1984,2,1956-03-26,"C",82,240,"University of Notre Dame"
"Lloyd Batts",1975,1975,1,1951-05-09,"G-F",76,185,"University of Cincinnati"
"Nicolas Batum",2009,2018,10,1988-12-14,"F-G",80,200,"No College"
"Johnny Baum",1970,1974,5,1946-06-17,"F",77,200,"Temple University"
"Frankie Baumholtz",1947,1947,1,1918-10-07,"G",70,170,"Ohio University"
"Lonny Baxter",2003,2006,4,1979-01-27,"F",80,260,"University of Maryland"
"Jerryd Bayless",2009,2018,10,1988-08-20,"G",75,200,"University of Arizona"
"Elgin Baylor",1959,1972,14,1934-09-16,"F",77,225,"Seattle University"
"Howard Bayne",1968,1968,1,1942-07-28,"F",78,235,"University of Tennessee"
"Aron Baynes",2013,2018,6,1986-12-09,"C",82,260,"Washington State University"
"Sergei Bazarevich",1995,1995,1,1965-03-16,"G",74,168,"No College"
"Kent Bazemore",2013,2018,6,1989-07-01,"G-F",77,201,"Old Dominion University"
"Ed Beach",1951,1951,1,1929-01-25,"F",75,200,"West Virginia University"
"Bradley Beal",2013,2018,6,1993-06-28,"G",77,207,"University of Florida"
"Al Beard",1968,1968,1,1942-04-27,"C",81,200,"Norfolk State University"
"Butch Beard",1970,1979,10,1947-05-04,"G",75,185,"University of Louisville"
"Ralph Beard",1950,1951,2,1927-12-02,"G",70,175,"University of Kentucky"
"Charles Beasley",1968,1971,4,1945-09-23,"G-F",77,190,"Southern Methodist University"
"Jerome Beasley",2004,2004,1,1980-05-17,"F",82,237,"University of North Dakota"
"John Beasley",1968,1974,7,1944-02-05,"F-C",81,225,"Texas A&M University"
"Malik Beasley",2017,2018,2,1996-11-26,"G",77,196,"Florida State University"
"Michael Beasley",2009,2018,10,1989-01-09,"F",81,235,"Kansas State University"
"Zelmo Beaty",1963,1975,13,1939-10-25,"C",81,225,"Prairie View A&M University"
"Rodrigue Beaubois",2010,2013,4,1988-02-24,"G",72,170,"No College"
"Byron Beck",1968,1977,10,1945-01-25,"C-F",81,225,"University of Denver"
"Corey Beck",1996,1999,4,1971-05-27,"G",73,190,"University of Arkansas"
"Ernie Beck",1954,1961,8,1931-12-11,"G-F",76,190,"University of Pennsylvania"
"Arthur Becker",1968,1973,6,1942-01-12,"F",79,205,"Arizona State University"
"Moe Becker",1947,1947,1,1917-02-24,"G-F",73,185,"Duquesne University"
"Bob Bedell",1968,1971,4,1944-06-26,"F",79,205,"Stanford University"
"William Bedford",1987,1993,7,1963-12-14,"C",84,225,"University of Memphis"
"Hank Beenders",1947,1949,3,1916-06-02,"C-F",78,185,"Long Island University"
"Ron Behagen",1974,1980,7,1951-01-14,"F-C",81,185,"University of Minnesota"
"Elmer Behnke",1952,1952,1,1929-02-03,"C",79,210,"Bradley University"
"Marco Belinelli",2008,2018,11,1986-03-25,"G-F",77,210,"No College"
"Charlie Bell",2002,2011,10,1979-03-12,"G",75,200,"Michigan State University"
"Dennis Bell",1974,1976,3,1951-06-02,"F",77,185,"Drake University"
"Jordan Bell",2018,2018,1,1995-01-07,"F",81,224,"University of Oregon"
"Raja Bell",2001,2012,12,1976-09-19,"G",77,204,"Florida International University"
"Troy Bell",2004,2004,1,1980-11-10,"G",73,180,"Boston College"
"Whitey Bell",1960,1961,2,1932-09-13,"G",72,180,"North Carolina State University"
"Walt Bellamy",1962,1975,14,1939-07-24,"C",83,225,"Indiana University"
"DeAndre' Bembry",2017,2018,2,1994-07-04,"F",78,210,"Saint Joseph's University"
"Irv Bemoras",1954,1957,4,1930-11-18,"F-G",75,185,"University of Illinois at Urbana-Champaign"
"Leon Benbow",1975,1976,2,1950-07-23,"G",76,185,"Jacksonville University"
"Dragan Bender",2017,2018,2,1997-11-17,"F",85,225,"No College"
"Jonathan Bender",2000,2010,11,1981-01-30,"F",83,202,"No College"
"Jerrelle Benimon",2015,2015,1,1991-08-01,"F",80,245,"Towson University"
"Benoit Benjamin",1986,2000,15,1964-11-22,"C",84,250,"Creighton University"
"Corey Benjamin",1999,2003,5,1978-02-24,"G",78,200,"Oregon State University"
"Anthony Bennett",2014,2017,4,1993-03-14,"F",80,245,"University of Nevada, Las Vegas"
"Elmer Bennett",1995,1997,3,1970-02-13,"G",72,170,"University of Notre Dame"
"Mario Bennett",1996,2000,5,1973-08-01,"F",78,235,"Arizona State University"
"Mel Bennett",1976,1982,7,1955-01-04,"F",79,200,"University of Pittsburgh"
"Spider Bennett",1969,1969,1,1943-08-04,"G",75,190,"Winston-Salem State University"
"Tony Bennett",1993,1995,3,1969-06-01,"G",72,175,"University of Wisconsin-Green Bay"
"Winston Bennett",1990,1992,3,1965-02-09,"F",79,210,"University of Kentucky"
"David Benoit",1992,2001,10,1968-05-09,"F",80,220,"University of Alabama"
"Keith Benson",2012,2012,1,1988-08-13,"C",83,240,"Oakland University"
"Kent Benson",1978,1988,11,1954-12-27,"C",82,235,"Indiana University"
"Ben Bentil",2017,2017,1,1995-03-29,"F",81,235,"Providence College"
"Gene Berce",1950,1950,1,1926-11-22,"G-F",71,175,"Marquette University"
"Gary Bergen",1957,1957,1,1932-07-16,"C",80,210,"University of Utah"
"Larry Bergh",1970,1970,1,1945-04-02,"F",80,210,"Weber State University"
"Ricky Berry",1989,1989,1,1964-10-06,"F",80,205,"San Jose State University"
"Walter Berry",1987,1989,3,1964-05-14,"F",80,215,"St. John's University"
"Davis Bertans",2017,2018,2,1992-11-12,"F",82,210,"No College"
"Del Beshore",1979,1980,2,1956-11-29,"G",71,165,"California University of Pennslyvania"
"Travis Best",1996,2005,10,1972-07-12,"G",71,182,"Georgia Institute of Technology"
"Patrick Beverley",2013,2018,6,1988-07-12,"G",73,185,"University of Arkansas"
"Sim Bhullar",2015,2015,1,1992-12-02,"C",89,360,"New Mexico State University"
"Wesley Bialosuknia",1968,1968,1,1945-06-08,"G",74,185,"University of Connecticut"
"Al Bianchi",1957,1966,10,1932-03-26,"G",75,185,"Bowling Green State University"
"Hank Biasatti",1947,1947,1,1922-01-14,"G",71,175,"Long Island University"
"Henry Bibby",1973,1981,9,1949-11-24,"G",73,185,"University of California, Los Angeles"
"Mike Bibby",1999,2012,14,1978-05-13,"G",73,190,"University of Arizona"
"Ed Biedenbach",1969,1969,1,1945-08-12,"G",73,175,"North Carolina State University"
"Andris Biedrins",2005,2014,10,1986-04-02,"C",83,240,"No College"
"Don Bielke",1956,1956,1,,"C",79,240,"Valparaiso University"
"Bob Bigelow",1976,1979,4,1953-12-26,"F-G",79,215,"University of Pennsylvania"
"Lionel Billingy",1975,1975,1,1952-08-31,"F-C",81,215,"Duquesne University"
"Chauncey Billups",1998,2014,17,1976-09-25,"G",75,202,"University of Colorado"
"Dave Bing",1967,1978,12,1943-11-24,"G",75,180,"Syracuse University"
"Joe Binion",1987,1987,1,1961-03-26,"F",80,235,"North Carolina Agricultural and Technical State University"
"Khem Birch",2018,2018,1,1992-09-28,"C-F",81,220,"University of Nevada, Las Vegas"
"Jabari Bird",2018,2018,1,1994-07-03,"G",78,197,"University of California"
"Jerry Bird",1959,1959,1,1935-02-02,"F",78,210,"University of Kentucky"
"Larry Bird",1980,1992,13,1956-12-07,"F",81,220,"Indiana State University"
"Otis Birdsong",1978,1989,12,1955-12-09,"G",75,190,"University of Houston"
"Gale Bishop",1949,1949,1,1922-06-04,"F",75,195,"Washington State University"
"Bismack Biyombo",2012,2018,7,1992-08-28,"C-F",81,255,"No College"
"Nemanja Bjelica",2016,2018,3,1988-05-09,"F",82,240,"No College"
"Uwe Blab",1986,1990,5,1962-03-26,"C",85,252,"Indiana University"
"Charlie Black",1949,1952,4,1921-06-15,"F-C",77,200,"University of Kansas"
"Norman Black",1981,1981,1,1957-11-12,"G",77,185,"Saint Joseph's University"
"Tarik Black",2015,2018,4,1991-11-22,"C-F",81,250,"University of Kansas"
"Tom Black",1971,1971,1,1941-07-09,"C",82,220,"South Dakota State University"
