"name","year_start","year_end","years_tot","birth_date","position","height","weight","college"
"Maurice Ndour",2017,2017,1,1992-06-18,"F",81,200,"Ohio University"
"Craig Neal",1989,1991,3,1964-02-16,"G",77,165,"Georgia Institute of Technology"
"Gary Neal",2011,2017,7,1984-10-03,"G",76,210,"Towson University"
"Jim Neal",1954,1955,2,1930-05-21,"C",83,235,"Wofford College"
"Lloyd Neal",1973,1979,7,1950-12-10,"C-F",79,225,"Tennessee State University"
"Ed Nealy",1983,1993,11,1960-02-19,"F",79,238,"Kansas State University"
"Nemanja Nedovic",2014,2014,1,1991-06-16,"G",75,192,"No College"
"Al Negratti",1947,1947,1,1921-06-12,"F-C",75,200,"Seton Hall University"
"Barry Nelson",1972,1972,1,1949-09-19,"C",82,230,"Duquesne University"
"DeMarcus Nelson",2009,2009,1,1985-11-02,"G",76,200,"Duke University"
"Don Nelson",1963,1976,14,1940-05-15,"F",78,210,"University of Iowa"
"Jameer Nelson",2005,2018,14,1982-02-09,"G",72,190,"Saint Joseph's University"
"Louie Nelson",1974,1978,5,1951-05-28,"G",75,190,"University of Washington"
"Ron Nelson",1971,1971,1,1946-10-07,"G",74,175,"University of New Mexico"
"Ruben Nembhard",1997,1997,1,1972-02-20,"G",75,208,"Weber State University"
"Dick Nemelka",1971,1971,1,1943-10-01,"G",72,175,"Brigham Young University"
"Tyrone Nesby",1999,2002,4,1976-01-31,"F",78,225,"University of Nevada, Las Vegas"
"Martin Nessley",1988,1988,1,1965-02-16,"C",86,260,"Duke University"
"Rasho Nesterovic",1999,2010,12,1976-05-30,"C",84,248,"No College"
"Raul Neto",2016,2018,3,1992-05-19,"G",73,179,"No College"
"Bob Netolicky",1968,1976,9,1942-08-02,"F-C",81,220,"Drake University"
"Johnny Neumann",1972,1978,7,1951-09-11,"G-F",78,200,"University of Mississippi"
"Paul Neumann",1962,1967,6,1938-01-30,"G",73,175,"Stanford University"
"Chuck Nevitt",1983,1994,12,1959-06-13,"C",89,217,"North Carolina State University"
"Melvin Newbern",1993,1993,1,1967-06-11,"G",76,200,"University of Minnesota"
"Ivano Newbill",1995,1998,4,1970-12-12,"F",81,245,"Georgia Institute of Technology"
"Ira Newble",2001,2008,8,1975-01-20,"F",79,220,"Miami University"
"Mike Newlin",1972,1982,11,1949-01-02,"G-F",76,200,"University of Utah"
"Johnny Newman",1987,2002,16,1963-11-28,"F-G",79,190,"University of Richmond"
"Dave Newmark",1969,1971,3,1946-09-11,"C",84,240,"Columbia University"
"Bill Newton",1973,1974,2,1950-12-22,"C",81,220,"Louisiana State University"
"Georges Niang",2017,2017,1,1993-06-17,"F",80,230,"Iowa State University"
"Demetris Nichols",2008,2009,2,1984-09-04,"F",80,216,"Syracuse University"
"Jack Nichols",1949,1958,10,1926-04-09,"C-F",79,222,"University of Washington"
"Andrew Nicholson",2013,2017,5,1989-12-08,"F",81,250,"St. Bonaventure University"
"Gaylon Nickerson",1997,1997,1,1969-02-05,"G",75,190,"Northwestern Oklahoma State University"
"Carl Nicks",1981,1983,3,1958-10-06,"G",73,175,"Indiana State University"
"Rich Niemann",1969,1972,4,1946-07-02,"C",84,245,"Saint Louis University"
"Richie Niemiera",1949,1950,2,1921-05-26,"G-F",73,165,"University of Notre Dame"
"Mike Niles",1981,1981,1,1955-03-31,"F",78,225,"California State University, Fullerton"
"Kurt Nimphius",1982,1990,9,1958-03-13,"C-F",82,218,"Arizona State University"
"Dyron Nix",1990,1990,1,1967-02-11,"F",79,210,"University of Tennessee"
"Norm Nixon",1978,1989,12,1955-10-11,"G",74,170,"Duquesne University"
"Joakim Noah",2008,2018,11,1985-02-25,"C",83,230,"University of Florida"
"Chuck Noble",1956,1962,7,1931-07-24,"G",76,190,"University of Louisville"
"Andres Nocioni",2005,2012,8,1979-11-30,"F",79,225,"No College"
"David Noel",2007,2007,1,1984-02-27,"F",78,230,"University of North Carolina"
"Nerlens Noel",2015,2018,4,1994-04-10,"C-F",83,228,"University of Kentucky"
"Paul Noel",1948,1952,5,1924-08-17,"F",76,185,"University of Kentucky"
"Lucas Nogueira",2015,2018,4,1992-07-26,"C",84,241,"No College"
"Jim Nolan",1950,1950,1,1927-06-09,"C",80,210,"Georgia Institute of Technology"
"Jeff Nordgaard",1998,1998,1,1973-02-23,"F",79,225,"University of Wisconsin-Green Bay"
"Bevo Nordmann",1962,1965,4,1939-12-11,"C",82,225,"Saint Louis University"
"Johnny Norlander",1947,1951,5,1921-03-05,"F",75,180,"Hamline University"
"Connie Norman",1975,1979,5,1953-09-24,"G",75,175,"University of Arizona"
"Ken Norman",1988,1997,10,1964-09-05,"F",80,215,"University of Illinois at Urbana-Champaign"
"Audie Norris",1983,1985,3,1960-12-18,"C",81,230,"Jackson State University"
"Moochie Norris",1997,2006,10,1973-07-27,"G",73,175,"University of West Florida"
"Sylvester Norris",1980,1980,1,1957-02-18,"C",83,220,"Jackson State University"
"Willie Norwood",1972,1978,7,1947-08-08,"F",79,220,"Alcorn State University"
"George Nostrand",1947,1950,4,1924-01-25,"C-F",80,195,"University of Wyoming"
"Stan Noszka",1947,1949,3,1920-09-09,"G",73,185,"Duquesne University"
"Mike Novak",1949,1954,6,1915-04-23,"C-F",81,219,"Loyola University of Chicago"
"Steve Novak",2007,2017,11,1983-06-13,"F",82,225,"Marquette University"
"Mel Nowell",1963,1968,6,1939-12-27,"G",74,170,"Ohio State University"
"Dirk Nowitzki",1999,2018,20,1978-06-19,"F",84,245,"No College"
"Frank Ntilikina",2018,2018,1,1998-07-28,"G",77,190,"No College"
"James Nunnally",2014,2014,1,1990-07-14,"F",79,205,"University of California, Santa Barbara"
"Jusuf Nurkic",2015,2018,4,1994-08-23,"C",84,280,"No College"
"Dennis Nutt",1987,1987,1,1963-03-25,"G",74,170,"Texas Christian University"
"David Nwaba",2017,2018,2,1993-01-14,"G",76,209,"California Polytechnic State University, San Luis Obispo"
"Julius Nwosu",1995,1995,1,1971-05-01,"C",82,255,"Liberty University"
"Charles O'Bannon",1998,1999,2,1975-02-22,"G-F",77,209,"University of California, Los Angeles"
"Ed O'Bannon",1996,1997,2,1972-08-14,"F",80,222,"University of California, Los Angeles"
"John O'Boyle",1953,1953,1,1928-03-07,"G",74,185,"Colorado State University"
"Bob O'Brien",1948,1949,2,1927-01-26,"F",76,190,"Pepperdine University"
"J.J. O'Brien",2016,2016,1,1992-04-08,"F",79,228,"San Diego State University"
"Jim O'Brien",1974,1975,2,1951-11-07,"F",79,200,"University of Maryland"
"Jimmy O'Brien",1972,1975,4,1950-04-09,"G",73,170,"Boston College"
"Ralph O'Brien",1952,1953,2,1928-04-08,"G",69,160,"Butler University"
"Johnny O'Bryant",2015,2018,4,1993-06-01,"F-C",81,257,"Louisiana State University"
"Patrick O'Bryant",2007,2010,4,1986-06-20,"C",84,260,"Bradley University"
"Dermie O'Connell",1949,1950,2,1928-04-13,"G",72,174,"College of the Holy Cross"
"Andy O'Donnell",1950,1950,1,1925-03-10,"G",73,180,"Loyola College in Maryland"
"Buddy O'Grady",1947,1949,3,1920-01-19,"G",71,160,"Georgetown University"
"Fran O'Hanlon",1971,1971,1,1948-08-24,"G",73,175,"Villanova University"
"Dick O'Keefe",1948,1951,4,1923-09-29,"G-F",74,185,"Santa Clara University"
"Tommy O'Keefe",1951,1951,1,1928-06-03,"G",74,185,"Georgetown University"
"Mike O'Koren",1981,1988,8,1958-02-07,"F-G",79,207,"University of North Carolina"
"Grady O'Malley",1970,1970,1,1948-04-25,"F",77,205,"Manhattan College"
"Jermaine O'Neal",1997,2014,18,1978-10-13,"F-C",83,226,"No College"
"Shaquille O'Neal",1993,2011,19,1972-03-06,"C",85,325,"Louisiana State University"
"Royce O'Neale",2018,2018,1,1993-06-05,"F",78,215,"Baylor University"
"Mike O'Neill",1953,1953,1,,"F",75,210,"University of California"
